Starting Mock Data Server with Embedded NATS...
 - NATS: :4222
 - WS:   :4223
 - Stream: :8080/stream
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.INFO  46]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.STATZ  47]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.CONNS  48]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.USER.*.INFO  49]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.PING.STATZ  50]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.ACCOUNT.*.LEAFNODE.CONNECT  51]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.LATENCY.M2.yONJ4gGo  52]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.DEBUG.SUBSCRIBERS  53]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.RELOAD  54]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.KICK  55]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU.LDM  56]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.REQ.ACCOUNT.$SYS.CONNS $SYS._INBOX_.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU 263]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"server\":{\"name\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"host\":\"0.0.0.0\",\"id\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":6,\"time\":\"2026-01-26T03:50:42.264468657Z\"},\"acc\":\"$SYS\"}"]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.REQ.ACCOUNT.$G.CONNS $SYS._INBOX_.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU 261]
[2026-01-25T19:50:42.264-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"server\":{\"name\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"host\":\"0.0.0.0\",\"id\":\"NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":7,\"time\":\"2026-01-26T03:50:42.264604693Z\"},\"acc\":\"$G\"}"]
[2026-01-25T19:50:42.294-08:00 | FATAL | log.go:Fatalf:252] Unable to listen for websocket connections: listen tcp 0.0.0.0:4223: bind: address already in use
exit status 1
